번호,제목,저자,출판사,출판일,Column1
56.0,Using behaviour to assess animal welfare,"Dawkins, M. S.",Universities Federation for Animal Welfare,2004.0,
57.0,Fractal analysis of animal behaviour as an indicator of animal welfare,"Rutherford, K. M. D.;Haskell, M. J.;Glasbey, C.;Jones, R. B.;Lawrence, A. B.",Universities Federation for Animal Welfare,2004.0,
58.0,The future trends for research on quality and safety of animal products,"Hocquette, J.-F.; Richardson, R. I.; Prache, S.; Medale, F.; Duffy, G.; Scollan, N. D.","Avenue Media,",2005.0,
59.0,Farm/ranch to table safety of animal foods: Microbiological concerns,"Virden, A. M.; Means, W. J.; Hixon, D. L.; Mather, N. J.",American Society of Animal Science,1994.0,
60.0,Animal Welfare and The Animal Rights Movement,"Stickin, W. R.",American Society of Animal Science [etc.],1991.0,
61.0,Engineering to reduce animal numbers,"Trajstman, A. C.",Elsevier,2000.0,
62.0,Refinement of laboratory animal anaesthesia,"Flecknell, P.",Elsevier,2000.0,
63.0,A strategy for the prediction of skin sensitisation: an alternative to animal testing,"Rousset, F.;Verda, D.;Arrighi, J.-F.;Peguet-Navarro, J.;Cottin, M.",Elsevier,2000.0,
64.0,Effects of grazing management systems upon animal and forage performance,"Campbell, C. M.; Tamimi, Y. N.; Carpenter, J. R.; Matsuyama, D. T.",American Society of Animal Science,1994.0,
65.0,New Frontiers of Animal Biotechnology in the Field of Animal Reproduction,"Sato, E.; Yoshida, N.; Kimura, N.; Yokoo, M.; Sasada, H.",THE ASIAN-AUSTRALASIAN ASSOCIATION OF ANIMAL,2001.0,
66.0,"Comparison of different tempering times for barley-based feedlot diets and their influence on animal performance, carcass characteristics, diet digestibility, and in vitro barley digestibility","Hinman, D. D.; Sorensen, S. J.",American Society of Animal Science,1994.0,
67.0,Animal tests and alternatives: an animal protection viewpoint,"Langley, G.",Elsevier,1996.0,
68.0,Three years of animal welfare in the German constitution - the balance from an animal welfare perspective,"Kolar, R.",Elsevier,2006.0,
69.0,Observation of signs of ill-health in laboratory animals - the animal technician's point of view,"Hirsjarvi, P.;Liesirova, L.;Harlin, I.",Elsevier,2000.0,
70.0,"The reduction, refinement and replacement of laboratory animal procedures - a look to the future","Balls, M.",Elsevier,2000.0,
71.0,"Environmental enrichment to improve animal welfare: goals, methods, and measures of success","Fraser, D.;Jasper, J.;Weary, D. M.",Elsevier,2000.0,
72.0,Validation and improvement of the Texas A&amp;M Grazinglands Animal Nutrition Laboratory near infrared reflectance spectroscopy prediction equation,"Jinks, A. D.; Oltjen, J. W.; Robinson, P. H.; Calvert, C. C.","American Society of Animal Science, Western Section",2004.0,
73.0,"The European Commission's work in relation to the replacement, reduction and refinement of animal experimentation","Richardson, H.",Elsevier,2000.0,
74.0,Public policies on assessing and reporting degrees of animal harm: international perspectives,"Orlans, F. B.",Elsevier,2000.0,
75.0,Computer matching of digital images of retinal vascular patterns of sheep for animal verification,"Moss, G. E.; Whittier, J. C.; Stobart, R. H.; Baker, D. S.; Doubet, J. T.; Golden, B. L.","American Society of Animal Science, Western Section",2004.0,
76.0,United States Department of Agriculture: building bridges through innovative animal well-being initiatives,"Reynnells, R. D.",Universities Federation for Animal Welfare,2004.0,
77.0,Identifying genes relevant to animal nutrition,"Moran, C.","University of New England, Department of Animal Science",1999.0,
78.0,Breeding and animal welfare: practical and theoretical advantages of multi-trait selection,"Lawrence, A. B.;Conington, J.;Simm, G.",Universities Federation for Animal Welfare,2004.0,
79.0,Nutritional regulation of gene expression and animal development,"Greenwood, P. L.;Boisclair, Y. R.;Ehrhardt, R. A.;Gerrard, D. E.;Houseknecht, K. L.","University of New England, Department of Animal Science",1999.0,
80.0,Informed debate: the contribution of animal welfare science to the development of public policy,"Radford, M.",Universities Federation for Animal Welfare,2004.0,
81.0,Science-based animal welfare standards: the international role of the Office International des Epizooties,"Bayvel, A. C. D.",Universities Federation for Animal Welfare,2004.0,
82.0,Ethical decisions concerning animal biotechnology: what is the role of animal welfare science?,"Olsson, I. A. S.;Sandoe, P.",Universities Federation for Animal Welfare,2004.0,
83.0,Scientific uncertainty - how should it be handled in relation to scientific advice regarding animal welfare issues?,"Sandoe, P.;Forkman, B.;Christiansen, S. B.",Universities Federation for Animal Welfare,2004.0,
84.0,"Systematic review protocols, systemic reviews and guidelines in animal health, animal welfare, and food safety An introduction to systematic reviews in animal health, animal welfare, and food safety","O Connor, A.M.; Sargeant, J.M.",Cambridge University Press,2014.0,
85.0,Ruminations on future animal agriculture,"Leng, R. A.","University of New England, Department of Animal Science",1999.0,
86.0,Animal Applications for Herbal Products,"Vandergrift, B.",[California Animal Nutrition Conference],2000.0,
87.0,Reduced animal use in efficacy testing in disease models with use of sequential experimental designs,"Waterton, J. C.;Middleton, B. J.;Pickford, R.;Allott, C. P.;Checkley, D.;Keith, R.",Elsevier,2000.0,
88.0,Practical applications of animal harm scales: international perspectives,"Orlans, F. B.",Elsevier,2000.0,
89.0,"Ethical issues in companion animal ownership, use and research","Turner, D.",SCAS,1996.0,
90.0,The guide dog - a thinking animal with a skilful mind,"Johnstone, B.",SCAS,1996.0,
91.0,Cost-effective disease control procedures and animal health management in animal agriculture in developing countries,"Chema, S.;Ward, D.",FAO,1990.0,
92.0,Introductory animal science-based instruction influences attitudes on animal agriculture issues,"Bobeck, E.A.; Combs, D.K.; Cook, M.E.",AMERICAN SOCIETY OF ANIMAL SCIENCE,2014.0,
93.0,Feral Animal Studies in Animal Science,Glen McBride,American Society of Animal Science [etc.],1984.0,
94.0,On using the Internet as a source of information in human-animal interactions,"Pennill, N.;Robinson, I.",SCAS,1996.0,
95.0,"The Animal Inside: Essays at the Intersection of Philosophical Anthropology and Animal Studies, Geoffrey Dierckxsens, Rudmer Biljlsma, Michael Begun, Thomas Kiefer","CLEMENTS, J.","[University of Illinois Press, Ferrater Mora Oxford Centre for Animal Ethics]",2019.0,
96.0,"Effects of a direct-fed microbial on digestive-tract morphology of Holstein bull calves and performance and carcass characteristics of Holstein steers11Appreciation is expressed to Nutrition Physiology Co. LLC (Guymon, OK) for partial financial support. Thanks to Elanco Animal Health, Ft. Dodge Animal Health, and DSM Nutrition for product support and Arizona Dairy Co. LLC for providing cattle used in Exp. 2. We thank J. English, K. Cannon, and S. Sanders for technical support.","Dick, K.J.; Duff, G.C.; Limesand, S.W.; Cuneo, S.P.; Knudson, D.K.; McMurphy, C.P.; Hall, L.W.; Bernal-Rigoli, J.C.; Marchello, J.A.",American Registry of Professional Animal Scientists (ARPAS),2013.0,
97.0,A questionnaire survey on aspects of cat adoption from an animal rescue shelter,"Rochlitz, I.;Podberscek, A. L.;Broom, D. M.",SCAS,1996.0,
98.0,The Use of Systems Analysis in Animal Science with Emphasis on Animal Breeding.,T.C.Cartwright,American Society of Animal Science [etc.],1979.0,
99.0,Responsibilities of Animal Scientists and Drug Sponsors when Conducting Research with Investigational New Animal Drugs,Woodrow M. Knight,American Society of Animal Science [etc.],1987.0,
100.0,Comparison of an Animal Model and an Equivalent Reduced Animal Model for Computational Efficiency Using Mixed Model Methodology,H.T. Blair;E.J. Pollak,American Society of Animal Science [etc.],1984.0,
1.0,Global Animal Partnership's 5-Step&trade; Animal Welfare Rating Standard: a welfare-labelling scheme that allows for continuous improvement,"Duncan, I.J.H.; Park, M.; Malleau, A.E.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2012.0,
2.0,The legacy of positivism and the role of ethics in animal science,"Thompson, P. B.",British Society of Animal Science,2002.0,
3.0,The constitution of Institutional Animal Care and Use Committees: a principled approach,"Vorstenbosch, J.",Elsevier,2000.0,
4.0,Ethical issues in animal biotechnology,"Sandoe, P.;Christiansen, S. B.;Lassen, J.",British Society of Animal Science,2002.0,
5.0,Sward characteristics and animal performance in a leader/follower grazing system with cows and sheep,"Fisher, G. E. J.; Gill, A.; Dowdeswell, A.",British Society of Animal Production,1993.0,
6.0,"The effects of including ruminally protected lipid in the diet of Charolais steers on animal performance, carcass quality and the fatty acid composition of longissimus dorsi muscle","Scollan, N. D.;Gulati, S.;Hallett, K. G.;Wood, J. D.;Enser, M.",British Society of Animal Science,2002.0,
7.0,Economics and animal welfare in small animal veterinary practice: the case of genetic welfare problems,"Yeates, J.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2012.0,
8.0,"The use of time-budgets in the assessment of animal welfare in the horse; ""Are changes in time-budgeting indicative of changes in welfare""","Marsden, M. D.",British Society of Animal Production,1993.0,
9.0,Animal products and human health: consequences for agriculture and some new approaches,"Barth, C. A.",National Institute of Animal Science,1991.0,
10.0,"Animal Grouping Strategies, Sources of Variation, and Economic Factors Affecting Nutrient Balance on Dairy Farms","St-Pierre, N. R.;Thraen, C. S.",American Society of Animal Science,1998.0,
11.0,Breeding and farm animal welfare,"Simm, G.",British Society of Animal Science,2004.0,
12.0,Breeding and animal welfare: threats and opportunities,"Muir, B.",British Society of Animal Science,2004.0,
13.0,Animal genetic resources management and poverty,"Anderson, S.",British Society of Animal Science,2004.0,
14.0,A global perspective on the value of animal genetic resources,"Hammond, K.",British Society of Animal Science,2004.0,
15.0,Animal science research in the Netherlands,"Brascamp, E. W.",British Society of Animal Production,1993.0,
16.0,Recombinant antibodies by phage display: the end of animal use?,"Stadler, B. M.;Vogel, M.;Miescher, S.",Elsevier,2000.0,
17.0,The qualitative assessment of animal behavioural expression and its application to animal husbandry,"Wemelsfelder, F.",Elsevier,2000.0,
18.0,Multidisciplinary Team Development and Laboratory Animal Care,"Baneux, P.;Townsend, P.",Elsevier,2000.0,
19.0,"Animal Encounters: Human and Animal Interaction in Britain from the Norman Conquest to World War I, Arthur MacGregor","LI, C.-H.","[University of Illinois Press, Ferrater Mora Oxford Centre for Animal Ethics]",2014.0,
20.0,Animal science and the safety of food for human consumption,"Vanselow, B. A.","University of New England, Department of Animal Science",1999.0,
21.0,Analysis of behavioural sequences: refinement of statistical methods to reduce animal use in the life sciences,"Puopolo, M.;Chiarotti, F.",Elsevier,2000.0,
22.0,Animal welfare and pest control: meeting both conservation and animal welfare goals,"Littin, K.E.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2010.0,
23.0,The integration of human-animal relations into animal welfare monitoring schemes,"Hemsworth, P.H.; Barnett, J.L.; Coleman, G.J.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2009.0,
24.0,Voluntary animal welfare assessment of mass-produced farm animal housing equipment using a standardised procedure,"Knierim, U.; Hesse, D.; von Borell, E.; Herrmann, H.-J.; Muller, C.; Rauch, H.-W.; Sachser, N.; Zerbe, F.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2003.0,
25.0,Production and Use of Feed for Sustainable Animal Production in Australia,"Rowe, J. B.; Corbett, J. L.",AAAP,1998.0,
26.0,Determination of the stringency of DNA microsatellite marker genotypes for use in individual animal identification,"Stockburger, E. M.;Green, R. D.;Wood, W. O.;Holm, T.","American Society of Animal Science, Western Section",1999.0,
27.0,Evaluation of temperate bamboo foliage as an animal feedstuff: seasonal changes in composition and digestibility in ponies,"Greenway, S. L.;Keller, M.;Nelson, G.;Cheeke, P. R.","American Society of Animal Science, Western Section",1999.0,
28.0,Animal experiments and non-animal methods in nanomedicine and nanotechnology - the results of a critical literature survey from the point of view of animal welfare,"Sauer Ursula, G.",Spektrum Akademischer Verlag,2008.0,
29.0,Pacing polar bears and stoical sheep: testing ecological and evolutionary hypotheses about animal welfare,"Clubb, R.;Mason, G.",Universities Federation for Animal Welfare,2004.0,
30.0,"Consciousness, emotion and animal welfare: insights from cognitive science","Mendl, M.;Paul, E. S.",Universities Federation for Animal Welfare,2004.0,
31.0,Graduate Education: Training and Learning Experiences of an Animal Scientist,"Bazer, F. W.",American Society of Animal Science,1996.0,
32.0,Plant cuticular wax alkanes - a new technique for estimating diet selection and intake in the grazing animal,"Dove, H.",Australian Society of Animal Production,1994.0,
33.0,Diet selection and intake by grazing animals - the animal connection,"Dynes, R. A.; Weston, R. H.",Australian Society of Animal Production,1994.0,
34.0,The plant-animal interface revisited: Conclusions,"Purser, D. B.",Australian Society of Animal Production,1994.0,
35.0,"A new treatment system for animal waste water using microorganism, soil and vegetation",A new treatment system for animal waste water using microorganism ; soil ; vegetation,Asian-Australasian Association of Animal Production Societies,1993.0,
36.0,Brain measures which tell us about animal welfare,"Broom, D. M.;Zanella, A. J.",Universities Federation for Animal Welfare,2004.0,
37.0,ANIMAL BEHAVIOR AND WELL-BEING SYMPOSIUM: Novel and multidisciplinary approaches to animal welfare,K. Proudfoot;,American Society of Animal Science [etc.],2016.0,
38.0,"Animal Ethics and the Autonomous Animal Self, Natalie Thomas","MARC, G. W.","[University of Illinois Press, Ferrater Mora Oxford Centre for Animal Ethics]",2018.0,
39.0,Assessment of the impact of government animal welfare policy on farm animal welfare in the UK,"Bennett, R. M.; Broom, D. M.; Henson, S. J.; Blaney, R. J. P.; Harper, G.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2004.0,
40.0,"Aggression, behaviour and animal care among pit bulls and other dogs adopted from an animal shelter","MacNeil-Allcock, A.; Clarke, N.M.; Ledger, R.A.; Fraser, D.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2011.0,
41.0,The qualitative assessment of animal behavioural expression and its application to animal husbandry,"Wemelsfelder, F.",Elsevier,2000.0,
42.0,Ethical decisions concerning animal biotechnology: what is the role of animal welfare science?,"Olsson, I. A. S.; Sandoe, P.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2004.0,
43.0,Animal Scientists' Role in the Development and Delivery of 4-H Animal Programs,"Russell, m. A.;Warner, R. J.;Sutton, A. L.",American Society of Animal Science [etc.],1991.0,
44.0,Review of research using non-human primates Animal welfare `toolkit' for farm animal veterinarians CAWC report on the rescue and re-homing of companion animals,unknown,UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2011.0,
45.0,Cost and animal use reduction analysis: review of the National Toxicology Program 14-day toxicity study database,"Chhabra, R. S.;Haseman, J. K.;Bucher, J. R.",Elsevier,2000.0,
46.0,ANIMAL WELFARE CONDITIONS FOR FREE RANGING SHEEP IN NORWEGIAN PREDATOR HABITATS,"Asheim, L.J.; Eik, L.O.",Institute for Animal Husbandry,2005.0,
47.0,Evaluation of the relevance of the target animal safety test,"Cussler, K.;van der Kamp, M. D. O.;Poessnecker, A.",Elsevier,2000.0,
48.0,"Development of a multi-institutional, web-based, graduate animal breeding course","Herring, A. D.; Thomas, M. G.; Enns, R. M.","American Society of Animal Science, Western Section",2000.0,
49.0,The Challenges of Exotic Animal Nutrition And Application of Animal Science To The Field,"Koutsos, E.",CANC,2009.0,
50.0,The Challenges of Exotic Animal Nutrition And Application of Animal Science To The Field,"Koutsos, E.",California; CANC,2009.0,
51.0,Reduction of animal use in regulatory testing of biologicals,"Dobbelaer, R.",Elsevier,2000.0,
52.0,Animal trait ontology: The importance and usefulness of a unified trait vocabulary for animal species,L. M. Hughes; J. Bao; Z.-L. Hu; V. Honavar; J. M. Reecy,American Society of Animal Science [etc.],2008.0,
53.0,Maintenance of indigenous animal breeds as a part of protection and reintroduction programme for rare or endangered species,"Bereszynski, A.; Urbanska, M.",Polish Academy of Sciences Institute of Genetics and Animal Breeding,1996.0,
54.0,Animal welfare and intergovernmental organisations: the role of intergovernmental organisations such as the OIE in animal welfare,"Littin, K.E.; Sheridan, A.; Johnson, C.B.; Bayvel, A.C.D.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2013.0,
55.0,"Can't stop, won't stop: is stereotypy a reliable animal welfare indicator?","Mason, G. J.;Latham, N. R.",Universities Federation for Animal Welfare,2004.0,
56.0,Using behaviour to assess animal welfare,"Dawkins, M. S.",Universities Federation for Animal Welfare,2004.0,
57.0,Fractal analysis of animal behaviour as an indicator of animal welfare,"Rutherford, K. M. D.;Haskell, M. J.;Glasbey, C.;Jones, R. B.;Lawrence, A. B.",Universities Federation for Animal Welfare,2004.0,
58.0,The future trends for research on quality and safety of animal products,"Hocquette, J.-F.; Richardson, R. I.; Prache, S.; Medale, F.; Duffy, G.; Scollan, N. D.","Avenue Media,",2005.0,
59.0,Farm/ranch to table safety of animal foods: Microbiological concerns,"Virden, A. M.; Means, W. J.; Hixon, D. L.; Mather, N. J.",American Society of Animal Science,1994.0,
60.0,Animal Welfare and The Animal Rights Movement,"Stickin, W. R.",American Society of Animal Science [etc.],1991.0,
61.0,Engineering to reduce animal numbers,"Trajstman, A. C.",Elsevier,2000.0,
62.0,Refinement of laboratory animal anaesthesia,"Flecknell, P.",Elsevier,2000.0,
63.0,A strategy for the prediction of skin sensitisation: an alternative to animal testing,"Rousset, F.;Verda, D.;Arrighi, J.-F.;Peguet-Navarro, J.;Cottin, M.",Elsevier,2000.0,
64.0,Effects of grazing management systems upon animal and forage performance,"Campbell, C. M.; Tamimi, Y. N.; Carpenter, J. R.; Matsuyama, D. T.",American Society of Animal Science,1994.0,
65.0,New Frontiers of Animal Biotechnology in the Field of Animal Reproduction,"Sato, E.; Yoshida, N.; Kimura, N.; Yokoo, M.; Sasada, H.",THE ASIAN-AUSTRALASIAN ASSOCIATION OF ANIMAL,2001.0,
66.0,"Comparison of different tempering times for barley-based feedlot diets and their influence on animal performance, carcass characteristics, diet digestibility, and in vitro barley digestibility","Hinman, D. D.; Sorensen, S. J.",American Society of Animal Science,1994.0,
67.0,Animal tests and alternatives: an animal protection viewpoint,"Langley, G.",Elsevier,1996.0,
68.0,Three years of animal welfare in the German constitution - the balance from an animal welfare perspective,"Kolar, R.",Elsevier,2006.0,
69.0,Observation of signs of ill-health in laboratory animals - the animal technician's point of view,"Hirsjarvi, P.;Liesirova, L.;Harlin, I.",Elsevier,2000.0,
70.0,"The reduction, refinement and replacement of laboratory animal procedures - a look to the future","Balls, M.",Elsevier,2000.0,
71.0,"Environmental enrichment to improve animal welfare: goals, methods, and measures of success","Fraser, D.;Jasper, J.;Weary, D. M.",Elsevier,2000.0,
72.0,Validation and improvement of the Texas A&amp;M Grazinglands Animal Nutrition Laboratory near infrared reflectance spectroscopy prediction equation,"Jinks, A. D.; Oltjen, J. W.; Robinson, P. H.; Calvert, C. C.","American Society of Animal Science, Western Section",2004.0,
73.0,"The European Commission's work in relation to the replacement, reduction and refinement of animal experimentation","Richardson, H.",Elsevier,2000.0,
74.0,Public policies on assessing and reporting degrees of animal harm: international perspectives,"Orlans, F. B.",Elsevier,2000.0,
75.0,Computer matching of digital images of retinal vascular patterns of sheep for animal verification,"Moss, G. E.; Whittier, J. C.; Stobart, R. H.; Baker, D. S.; Doubet, J. T.; Golden, B. L.","American Society of Animal Science, Western Section",2004.0,
76.0,United States Department of Agriculture: building bridges through innovative animal well-being initiatives,"Reynnells, R. D.",Universities Federation for Animal Welfare,2004.0,
77.0,Identifying genes relevant to animal nutrition,"Moran, C.","University of New England, Department of Animal Science",1999.0,
78.0,Breeding and animal welfare: practical and theoretical advantages of multi-trait selection,"Lawrence, A. B.;Conington, J.;Simm, G.",Universities Federation for Animal Welfare,2004.0,
79.0,Nutritional regulation of gene expression and animal development,"Greenwood, P. L.;Boisclair, Y. R.;Ehrhardt, R. A.;Gerrard, D. E.;Houseknecht, K. L.","University of New England, Department of Animal Science",1999.0,
80.0,Informed debate: the contribution of animal welfare science to the development of public policy,"Radford, M.",Universities Federation for Animal Welfare,2004.0,
81.0,Science-based animal welfare standards: the international role of the Office International des Epizooties,"Bayvel, A. C. D.",Universities Federation for Animal Welfare,2004.0,
82.0,Ethical decisions concerning animal biotechnology: what is the role of animal welfare science?,"Olsson, I. A. S.;Sandoe, P.",Universities Federation for Animal Welfare,2004.0,
83.0,Scientific uncertainty - how should it be handled in relation to scientific advice regarding animal welfare issues?,"Sandoe, P.;Forkman, B.;Christiansen, S. B.",Universities Federation for Animal Welfare,2004.0,
84.0,"Systematic review protocols, systemic reviews and guidelines in animal health, animal welfare, and food safety An introduction to systematic reviews in animal health, animal welfare, and food safety","O Connor, A.M.; Sargeant, J.M.",Cambridge University Press,2014.0,
85.0,Ruminations on future animal agriculture,"Leng, R. A.","University of New England, Department of Animal Science",1999.0,
86.0,Animal Applications for Herbal Products,"Vandergrift, B.",[California Animal Nutrition Conference],2000.0,
87.0,Reduced animal use in efficacy testing in disease models with use of sequential experimental designs,"Waterton, J. C.;Middleton, B. J.;Pickford, R.;Allott, C. P.;Checkley, D.;Keith, R.",Elsevier,2000.0,
88.0,Practical applications of animal harm scales: international perspectives,"Orlans, F. B.",Elsevier,2000.0,
89.0,"Ethical issues in companion animal ownership, use and research","Turner, D.",SCAS,1996.0,
90.0,The guide dog - a thinking animal with a skilful mind,"Johnstone, B.",SCAS,1996.0,
91.0,Cost-effective disease control procedures and animal health management in animal agriculture in developing countries,"Chema, S.;Ward, D.",FAO,1990.0,
92.0,Introductory animal science-based instruction influences attitudes on animal agriculture issues,"Bobeck, E.A.; Combs, D.K.; Cook, M.E.",AMERICAN SOCIETY OF ANIMAL SCIENCE,2014.0,
93.0,Feral Animal Studies in Animal Science,Glen McBride,American Society of Animal Science [etc.],1984.0,
94.0,On using the Internet as a source of information in human-animal interactions,"Pennill, N.;Robinson, I.",SCAS,1996.0,
95.0,"The Animal Inside: Essays at the Intersection of Philosophical Anthropology and Animal Studies, Geoffrey Dierckxsens, Rudmer Biljlsma, Michael Begun, Thomas Kiefer","CLEMENTS, J.","[University of Illinois Press, Ferrater Mora Oxford Centre for Animal Ethics]",2019.0,
96.0,"Effects of a direct-fed microbial on digestive-tract morphology of Holstein bull calves and performance and carcass characteristics of Holstein steers11Appreciation is expressed to Nutrition Physiology Co. LLC (Guymon, OK) for partial financial support. Thanks to Elanco Animal Health, Ft. Dodge Animal Health, and DSM Nutrition for product support and Arizona Dairy Co. LLC for providing cattle used in Exp. 2. We thank J. English, K. Cannon, and S. Sanders for technical support.","Dick, K.J.; Duff, G.C.; Limesand, S.W.; Cuneo, S.P.; Knudson, D.K.; McMurphy, C.P.; Hall, L.W.; Bernal-Rigoli, J.C.; Marchello, J.A.",American Registry of Professional Animal Scientists (ARPAS),2013.0,
97.0,A questionnaire survey on aspects of cat adoption from an animal rescue shelter,"Rochlitz, I.;Podberscek, A. L.;Broom, D. M.",SCAS,1996.0,
98.0,The Use of Systems Analysis in Animal Science with Emphasis on Animal Breeding.,T.C.Cartwright,American Society of Animal Science [etc.],1979.0,
99.0,Responsibilities of Animal Scientists and Drug Sponsors when Conducting Research with Investigational New Animal Drugs,Woodrow M. Knight,American Society of Animal Science [etc.],1987.0,
100.0,Comparison of an Animal Model and an Equivalent Reduced Animal Model for Computational Efficiency Using Mixed Model Methodology,H.T. Blair;E.J. Pollak,American Society of Animal Science [etc.],1984.0,
,,,,,
2.0,,,,," ""Peretti, A., Eberhard, W. G. & Briceno, R. D. 2006. Copulatory dialogue: female spiders sing during copulation to influence male genitalic movements. Animal Behaviour, 72, 413-421."" Animal Behaviour : 557.
"
3.0,,,,," ""2006 Animal Science Journal Excellent Paper Awards:"" ANIMAL SCIENCE JOURNAL : 103-103.
"
4.0,,,,,"Kan  C  A ,Meijer  G  A . ""The risk of contamination of food with toxic substances present in animal feed"" Animal feed science and technology : 84-108.
"
5.0,,,,,"Polo  J ,Rodriguez  C ,Rodenas  J ,Morera  S ,Saborido  N . ""Use of spray-dried animal plasma in canned chunk recipes containing excess of added water or poultry fat"" Animal feed science and technology : 309-319.
"
6.0,,,,,"Misra  A  K ,Mishra  A  S ,Tripathi  M  K ,Prasad  R ,Vaithiyanathan  S ,Jakhmola  R  C . ""Optimization of Solid State Fermentation of Mustard (Brassica campestris) Straw for Production of Animal Feed by White Rot Fungi (Ganoderma lucidum)"" Animal Bioscience : 208-213.
"
7.0,,,,,"B  D  Perry,T  P  Robinson,D  C  Grace. ""Review: Animal health and sustainable global livestock systems"" ANIMAL -CAMBRIDGE UNIVERSITY PRESS- : 1699-1708.
"
8.0,,,,,"Maki-Tanila  A . ""Animal breeding further ameliorated:"" JOURNAL OF ANIMAL BREEDING AND GENETICS : 1-2.
"
9.0,,,,,"J  M  Wilkinson,M  R  F  Lee. ""Review: Use of human-edible animal feeds by ruminant livestock"" ANIMAL -CAMBRIDGE UNIVERSITY PRESS- : 1735-1743.
"
10.0,,,,," ""IFAH's Declan O'Brien talks to Animal Pharm"" ANIMAL PHARM : 14-15.
"
11.0,,,,," ""Galef, B. G., Jr & Whiskin, E. E. 2006. Increased reliance on socially acquired information while foraging in risky situations? Animal Behaviour, 72, 1169-1176."" Animal Behaviour : 389.
"
12.0,,,,," ""Spanish animal health product exports increase"" ANIMAL PHARM : 19.
"
13.0,,,,,"Biscarini  F ,Cozzi  P ,Orozco?릘er Wengel  P . ""Lessons learnt on the analysis of large sequence data in animal genomics"" Animal genetics : 147-158.
"
14.0,,,,,"Schiavo  G ,Bertolini  F ,Utzeri  V  J ,Ribani  A ,Geraci  C ,Santoro  L ,횙vilo  C ,Fern찼ndez  A  I ,Gallo  M ,Fontanesi  L . ""Taking advantage from phenotype variability in a local animal genetic resource: identification of genomic regions associated with the hairless phenotype in casertana pigs"" Animal genetics : 321-325.
"
15.0,,,,," ""Correction: Animal Health - just another niche market?"" ANIMAL PHARM : 13.
"
16.0,,,,,"Drummond  Hugh,Ramos  Alejandra G ,S찼nchez-Macouzet  Oscar,Rodr챠guez  Cristina. ""Corrigendum to ""An unsuspected cost of mate familiarity: increased loss of paternity"" [Animal Behaviour, 111 (2016), 213??16]"" Animal Behaviour : 111.
"
17.0,,,,," ""Pfizer to close animal health manufacturing plants"" ANIMAL PHARM : 3-3.
"
18.0,,,,,"Frutos  J ,Andr챕s  S ,Trevisi  E ,Benavides  J ,Santos  N ,Santos  A ,Gir찼ldez  F J . ""Moderated milk replacer restriction of ewe lambs alters gut immunity parameters during the pre-weaning period and impairs liver function and animal performance during the replacement phase"" Animal feed science and technology : 80-89.
"
19.0,,,,,"van Raamsdonk  L  W ,von Holst  C ,Baeten  V ,Berben  G ,Boix  A ,de Jong  J . ""New developments in the detection and identification of processed animal proteins in feeds"" Animal feed science and technology : 63-83.
"
20.0,,,,," ""UK to enact animal welfare bill"" ANIMAL PHARM : 19.
"
21.0,,,,,"Williams  V M ,Mellor  D J ,Marbrook  J . ""Revision of a scale for assessing the severity of live animal manipulations"" ALTEX. Alternatives to Animal Experimentation : 163-169.
"
22.0,,,,,"Cooke  S  J ,Sneddon  L  U . ""Animal welfare perspectives on recreational angling"" APPLIED ANIMAL BEHAVIOUR SCIENCE : 176-198.
"
23.0,,,,,"Sandusky  C B ,Even  M ,Stoick  K ,Sandler  J . ""Strategies to reduce animal testing in US EPA's HPV programme"" ALTEX. Alternatives to Animal Experimentation : 150-152.
"
24.0,,,,,"R  Puntigam,K  Schedle,C  Schwarz,E  Wanzenb철ck,J  Eipper,E -M  Lechner,L  Yin,M  Gierus. ""Very high expander processing of maize on animal performance, digestibility and product quality of finishing pigs and broilers"" ANIMAL -CAMBRIDGE UNIVERSITY PRESS- : 1536-1546.
"
25.0,,,,,"Kurosawa  T M . ""Education in alternatives to animal experimentation"" ALTEX. Alternatives to Animal Experimentation : 174-176.
"
26.0,,,,,"Sauer  U G . ""Challenges and opportunities of animal welfare organisations in influencing and making public policy"" ALTEX. Alternatives to Animal Experimentation : 131-134.
"
27.0,,,,,"Eisen  E  J . ""Animal Breeding: What Does the Future Hold?"" Animal Bioscience : 453-460.
"
28.0,,,,,"Conlee  K M ,Lambert  L A . ""Workshop of experts: Definition, recognition, assessment, and alleviation of animal distress in the laboratory"" ALTEX. Alternatives to Animal Experimentation : 99-102.
"
29.0,,,,,"Nevalainen  T ,Kemppinen  N ,Meller  A . ""Refinement alternative for animal housing - enrichment"" ALTEX. Alternatives to Animal Experimentation : 93-95.
"
30.0,,,,,"de Boo  J ,Knight  A . ""Educating the veterinary professional about animal welfare"" ALTEX. Alternatives to Animal Experimentation : 71-74.
"
